experiment,duration_dp,solution_dp,optimal_dp,message_dp,duration_iqcp,solution_iqcp,optimal_iqcp,message_iqcp,duration,solution,optimal,message,duration_miqcp,solution_miqcp,optimal_miqcp,message_miqcp,duration_greedy,solution_greedy,optimal_greedy,message_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
1,0.17613744735717773,"[-1, 2, 3]",16.0,Done!,13.040886640548706,"[-1, 2, 3]",16.0,Done!,47.84350562095642,"[-1, 2, 23, 19, 21]",16.0,Done!,23232.20816731453,"[-1, 14, 3, 1, 15, 4, 18, 24, 16, 6]",16.0,Done!,0.014831304550170898,"[-1, 2, 3]",16,Done!,25,"[23, 2, 21, 19]",9,0.22231040598126128,16,0.0,0.0,0.0,0.0,0
2,0.1557769775390625,"[-1, 18, 19, 21]",20.0,Done!,5.018319129943848,"[-1, 18, 21, 19]",20.0,Done!,17.926093339920044,"[-1, 18, 21, 19]",20.0,Done!,86400.07239961624,,,ERROR: Runner exceded the timeout limit,0.004509449005126953,"[-1, 1, 6]",19,Done!,25,"[18, 21, 19]",5,0.24541126698022708,20,0.0,0.0,0.0,,1
3,3.420464515686035,"[-1, 10]",21.0,Done!,10.010939359664917,"[-1, 10]",21.0,Done!,17.008090019226074,"[-1, 10]",21.0,Done!,1425.4224481582642,"[-1, 10]",21.0,Done!,0.0040242671966552734,"[-1, 10]",21,Done!,25,[10],4,0.16560217601363547,21,0.0,0.0,0.0,0.0,0
4,0.3515958786010742,"[-1, 11, 5, 2, 4]",18.0,Done!,8.540496110916138,"[-1, 11, 5, 2, 4]",18.0,Done!,27.014185667037964,"[-1, 11, 5, 2, 4]",18.0,Done!,79622.90159630775,"[-1, 11, 5, 2, 4, 22, 9, 18, 12, 8, 21]",18.0,Done!,0.004105329513549805,"[-1, 1, 21]",17,Done!,25,"[1, 16, 23]",8,0.13216386098065414,17,-1.0,-1.0,-1.0,-1.0,0
5,1.7921864986419678,"[-1, 8]",22.0,Done!,10.067082405090332,"[-1, 8]",22.0,Done!,20.000446557998657,"[-1, 8]",22.0,Done!,43438.653435230255,"[-1, 8, 24, 21, 20]",22.0,Done!,0.004145383834838867,"[-1, 8]",22,Done!,25,[8],3,0.12303197401342914,22,0.0,0.0,0.0,0.0,0
6,0.19284844398498535,"[-1, 0, 2, 17]",19.0,Done!,10.538142442703247,"[-1, 0, 2, 17]",19.0,Done!,37.17953538894653,"[-1, 0, 2, 17]",19.0,Done!,86400.03592276573,,,ERROR: Runner exceded the timeout limit,0.004630565643310547,"[-1, 0, 2, 17]",19,Done!,25,"[0, 2, 17]",6,0.1857058089808561,19,0.0,0.0,0.0,,0
7,2.0427024364471436,"[-1, 1, 10, 4, 9, 8]",18.0,Done!,13.68584656715393,"[-1, 7, 10, 8, 9]",18.0,Done!,43.67995595932007,"[-1, 7, 10, 4, 8]",18.0,Done!,86400.14128446579,,,ERROR: Runner exceded the timeout limit,0.004298686981201172,"[-1, 7, 24]",18,Done!,25,"[7, 10, 8, 9]",7,0.14363262700499035,18,0.0,0.0,0.0,,0
8,1.880131721496582,"[-1, 4, 9, 6, 11, 22]",19.0,Done!,15.032512426376343,"[-1, 4, 17, 13]",19.0,Done!,35.265093088150024,"[-1, 4, 17, 13]",19.0,Done!,86400.19589662552,,,ERROR: Runner exceded the timeout limit,0.004321098327636719,"[-1, 4, 17, 13]",19,Done!,25,"[4, 17, 13]",6,0.17652444198029116,19,0.0,0.0,0.0,,0
9,0.31319165229797363,"[-1, 6, 0, 1, 22, 10, 18, 8, 9]",18.0,Done!,27.342374086380005,"[-1, 6, 24, 15, 23]",18.0,Done!,46.14546537399292,"[-1, 6, 24, 23, 15]",18.0,Done!,86400.13202047348,,,ERROR: Runner exceded the timeout limit,0.004424333572387695,"[-1, 6, 24, 23, 15]",18,Done!,25,"[6, 24, 15, 23]",7,0.16398852999554947,18,0.0,0.0,0.0,,0
10,0.1195521354675293,"[-1, 15, 12, 11, 22]",20.0,Done!,8.48018741607666,"[-1, 15, 13, 5, 17]",20.0,Done!,30.695069551467896,"[-1, 15, 13, 5, 17]",20.0,Done!,86400.11720776558,,,ERROR: Runner exceded the timeout limit,0.004157543182373047,"[-1, 13, 14, 3]",12,Done!,25,"[15, 12, 11, 22]",5,0.1887333509803284,20,0.0,0.0,0.0,,8
11,756.5456953048706,"[-1, 38, 26, 11, 15, 7, 8]",36.0,Done!,78.92625069618225,"[-1, 38, 26, 11, 15, 8, 7]",36.0,Done!,336.39172744750977,"[-1, 38, 32, 33, 8, 7]",36.0,Done!,,,,,0.005055904388427734,"[-1, 26, 35, 4]",31,Done!,40,"[38, 32, 33, 8, 7]",4,1.1946752319927327,36,0.0,0.0,0.0,,5
12,10313.590175151825,"[-1, 34]",36.0,Done!,57.66978430747986,"[-1, 34]",36.0,Done!,124.70194244384766,"[-1, 34]",36.0,Done!,,,,,0.0047380924224853516,"[-1, 34]",36,Done!,40,[34],4,0.9842896579939406,36,0.0,0.0,0.0,,0
13,86400.27601623535,,,ERROR: Runner exceded the timeout limit,92.59026265144348,"[-1, 7, 24]",38.0,Done!,196.18166255950928,"[-1, 24, 7]",38.0,Done!,,,,,0.00480341911315918,"[-1, 24, 7]",38,Done!,40,"[7, 24]",2,1.4244106719852425,38,,0.0,0.0,,0
14,2821.605602502823,"[-1, 13, 6, 12]",39.0,Done!,49.555662393569946,"[-1, 13, 6, 12]",39.0,Done!,110.51520371437073,"[-1, 13, 12, 6]",39.0,Done!,,,,,0.005032777786254883,"[-1, 13, 6, 12]",39,Done!,40,"[13, 6, 12]",1,0.5065443210187368,39,0.0,0.0,0.0,,0
15,19938.966321229935,"[-1, 28, 7, 13]",36.0,Done!,68.48938298225403,"[-1, 28, 7, 13]",36.0,Done!,240.73659229278564,"[-1, 28, 7, 13]",36.0,Done!,,,,,0.004904508590698242,"[-1, 28, 7, 13]",36,Done!,40,"[28, 13, 7]",4,0.6486825559986755,36,0.0,0.0,0.0,,0
16,430.3257336616516,"[-1, 3, 35, 28, 14]",34.0,Done!,58.67364048957825,"[-1, 28, 3, 35, 14]",34.0,Done!,262.8848626613617,"[-1, 28, 35, 3, 14]",34.0,Done!,,,,,0.004883527755737305,"[-1, 28, 13]",33,Done!,40,"[0, 16, 10, 23, 33]",14,1.53855898801703,26,-8.0,-8.0,-8.0,,-7
17,3930.608211994171,"[-1, 1, 33, 35, 2]",36.0,Done!,58.51028561592102,"[-1, 1, 35, 33, 2]",36.0,Done!,241.10886907577515,"[-1, 1, 33, 35, 2]",36.0,Done!,,,,,0.004731655120849609,"[-1, 33, 29]",35,Done!,40,"[29, 33]",5,1.0552970019925851,35,-1.0,-1.0,-1.0,,0
18,3804.9753289222717,"[-1, 12, 9, 4, 23, 33]",38.0,Done!,57.792312145233154,"[-1, 12, 9, 4, 33, 23]",38.0,Done!,132.3369653224945,"[-1, 12, 9, 4, 33, 23]",38.0,Done!,,,,,0.005341529846191406,"[-1, 12, 9, 4, 23, 33]",38,Done!,40,"[12, 37, 16]",2,0.953996747994097,38,0.0,0.0,0.0,,0
19,4533.969429254532,"[-1, 3, 33, 15, 32]",34.0,Done!,43.429264545440674,"[-1, 27, 3]",34.0,Done!,184.5443115234375,"[-1, 27, 3]",34.0,Done!,,,,,0.004767417907714844,"[-1, 27, 3]",34,Done!,40,"[27, 33, 4]",6,0.6241493840061594,34,0.0,0.0,0.0,,0
20,86402.9425394535,,,ERROR: Runner exceded the timeout limit,75.78371858596802,"[-1, 2, 9]",36.0,Done!,272.9898133277893,"[-1, 2, 9]",36.0,Done!,,,,,0.004824638366699219,"[-1, 2, 9]",36,Done!,40,"[9, 2]",4,2.055032457021298,36,,0.0,0.0,,0
21,,,,,148.48570466041565,"[-1, 2, 6, 36]",46.0,Done!,742.7717871665955,"[-1, 2, 6, 36]",46.0,Done!,,,,,0.005364179611206055,"[-1, 2, 6, 36]",46,Done!,50,"[2, 6, 36]",4,1.4241450210101902,46,,0.0,0.0,,0
22,,,,,68.10165238380432,"[-1, 20, 49, 8]",49.0,Done!,188.78203177452087,"[-1, 20, 49, 8]",49.0,Done!,,,,,0.0055255889892578125,"[-1, 8, 20]",48,Done!,50,"[20, 49, 8]",1,4.324028903996805,49,,0.0,0.0,,1
23,,,,,163.8062858581543,"[-1, 22, 35, 34, 6]",48.0,Done!,625.0752663612366,"[-1, 22, 35, 44, 4]",48.0,Done!,,,,,0.0056612491607666016,"[-1, 22, 34, 6]",47,Done!,50,"[35, 22, 4, 6]",3,3.1961143460066523,47,,-1.0,-1.0,,0
24,,,,,132.75861263275146,"[-1, 5, 6, 25, 21, 37, 40]",48.0,Done!,429.6481246948242,"[-1, 5, 6, 25, 21, 40, 37]",48.0,Done!,,,,,0.006070613861083984,"[-1, 5, 21, 25, 37, 40]",46,Done!,50,"[6, 11, 10, 14, 43]",2,3.565393311000662,48,,0.0,0.0,,2
25,,,,,671.9995968341827,"[-1, 16, 1, 8, 35]",44.0,Done!,2373.3998057842255,"[-1, 1, 8, 4, 40, 38, 11]",44.0,Done!,,,,,0.005779743194580078,"[-1, 8, 35]",42,Done!,50,"[1, 8, 35]",7,1.9048589379817713,43,,-1.0,-1.0,,1
26,,,,,130.10777974128723,"[-1, 12, 36, 26]",45.0,Done!,602.7177453041077,"[-1, 12, 36, 26]",45.0,Done!,,,,,0.005635738372802734,"[-1, 12, 26]",44,Done!,50,"[12, 36, 26]",5,2.8217466500063892,45,,0.0,0.0,,1
27,,,,,163.0827407836914,"[-1, 19, 1]",46.0,Done!,833.2176752090454,"[-1, 19, 1]",46.0,Done!,,,,,0.005720376968383789,"[-1, 19, 1]",46,Done!,50,"[19, 1]",4,1.3990414990112185,46,,0.0,0.0,,0
28,,,,,133.62734746932983,"[-1, 1, 14, 11, 2]",47.0,Done!,517.2774863243103,"[-1, 1, 14, 11, 2]",47.0,Done!,,,,,0.00579380989074707,"[-1, 1, 2, 14]",46,Done!,50,"[1, 11, 2, 35]",4,2.169401546998415,46,,-1.0,-1.0,,0
29,86400.2552587986,,,ERROR: Runner exceded the timeout limit,116.9343101978302,"[-1, 32, 6, 35]",47.0,Done!,448.17441725730896,"[-1, 32, 35, 6]",47.0,Done!,,,,,0.005574226379394531,"[-1, 32, 35, 6]",47,Done!,50,"[32, 35, 6]",3,2.7666956720058806,47,,0.0,0.0,,0
30,86400.26027560234,,,ERROR: Runner exceded the timeout limit,155.3806722164154,"[-1, 8, 48, 38]",44.0,Done!,761.4939849376678,"[-1, 8, 48, 38]",44.0,Done!,,,,,0.00602412223815918,"[-1, 8, 48, 38]",44,Done!,50,"[8, 48, 38]",6,1.847552627994446,44,,0.0,0.0,,0
31,,,,,636.51029920578,"[-1, 73, 6]",71.0,Done!,829.7664711475372,,,ERROR: ,,,,,0.00725102424621582,"[-1, 73, 6]",71,Done!,75,"[73, 6]",4,9.358723604003899,71,,0.0,,,0
32,,,,,801.9834418296814,"[-1, 5, 12]",71.0,Done!,990.5053334236145,,,ERROR: ,,,,,0.007124900817871094,"[-1, 5, 12]",71,Done!,75,"[5, 12]",4,5.926613111980259,71,,0.0,,,0
33,,,,,862.7642335891724,"[-1, 68, 30, 53]",72.0,Done!,1056.4614882469177,,,ERROR: ,,,,,0.007498025894165039,"[-1, 68, 53]",71,Done!,75,"[68, 30, 53]",3,8.833436192013323,72,,0.0,,,1
34,,,,,797.5779385566711,"[-1, 56, 45, 73]",74.0,Done!,997.3909087181091,,,ERROR: ,,,,,0.007439851760864258,"[-1, 73, 56, 45]",74,Done!,75,"[73, 56, 45]",1,4.761790589982411,74,,0.0,,,0
35,,,,,737.5245146751404,"[-1, 52, 12]",71.0,Done!,947.6931436061859,,,ERROR: ,,,,,0.007419109344482422,"[-1, 52, 12]",71,Done!,75,"[52, 12]",4,7.4938276119937655,71,,0.0,,,0
36,,,,,12748.104264736176,"[-1, 54, 40, 29, 21, 25, 27, 58]",65.0,Done!,1018.6010630130768,,,ERROR: ,,,,,0.007631540298461914,"[-1, 29, 67, 70, 45]",59,Done!,75,"[54, 29, 25, 21, 58, 27]",11,4.2826274309773,64,,-1.0,,,5
37,,,,,859.7922012805939,"[-1, 5, 63, 50, 29]",69.0,Done!,1054.3817796707153,,,ERROR: ,,,,,0.006953716278076172,"[-1, 5, 29]",65,Done!,75,"[50, 63, 5, 29]",6,21.537279165990185,69,,0.0,,,4
38,,,,,966.4740946292877,"[-1, 44, 2, 7]",73.0,Done!,1181.8140380382538,,,ERROR: ,,,,,0.006745815277099609,"[-1, 2, 7]",72,Done!,75,"[50, 44, 0, 11, 38, 65, 34, 62, 72, 9, 56, 51, 8, 20, 22, 1, 43]",16,77.69436276797205,59,,-14.0,,,-13
39,,,,,499.41710233688354,"[-1, 42, 38, 63, 31, 33]",69.0,Done!,660.4823682308197,,,ERROR: ,,,,,0.007153034210205078,"[-1, 42, 63, 33, 31, 46]",68,Done!,75,"[42, 0, 38, 33, 36, 26]",11,6.977404131001094,64,,-5.0,,,-4
40,,,,,1306.3808846473694,"[-1, 69, 73, 3, 60, 14, 30]",69.0,Done!,895.2078011035919,,,ERROR: ,,,,,0.007636547088623047,"[-1, 73, 3, 6, 58, 72, 1]",62,Done!,75,"[69, 0, 46, 65, 38, 54, 47, 66, 1, 72, 58]",11,12.595807507983409,64,,-5.0,,,2
41,,,,,3565.7875645160675,"[-1, 58, 29, 38]",99.0,Done!,4040.3332669734955,,,ERROR: ,,,,,0.00911855697631836,"[-1, 38]",97,Done!,100,"[58, 29, 38]",1,53.64679559497745,99,,0.0,,,2
42,,,,,2059.77290225029,"[-1, 46, 10]",97.0,Done!,3022.924403190613,,,ERROR: ,,,,,0.00872802734375,"[-1, 46, 10]",97,Done!,100,"[42, 62, 70, 18]",3,16.74793328999658,97,,0.0,,,0
43,,,,,2591.8490533828735,"[-1, 12, 68, 98, 35]",96.0,Done!,3170.6341514587402,,,ERROR: ,,,,,0.00899052619934082,"[-1, 68, 12, 98, 93]",95,Done!,100,"[12, 68, 98, 35]",4,28.56930678000208,96,,0.0,,,1
44,,,,,3300.5156140327454,"[-1, 3, 22, 16]",98.0,Done!,3691.8290073871613,,,ERROR: ,,,,,0.008602380752563477,"[-1, 22, 16, 62]",97,Done!,100,"[3, 22, 16]",2,18.48803994600894,98,,0.0,,,1
45,,,,,2714.5142743587494,"[-1, 15, 94]",95.00000000000001,Done!,3101.1883974075317,,,ERROR: ,,,,,0.008910179138183594,"[-1, 15, 35]",94,Done!,100,"[35, 94, 15]",5,29.28147993099992,95,,-1.4210854715202004e-14,,,1
46,,,,,3459.2452313899994,"[-1, 53, 54, 49]",94.0,Done!,3352.19207906723,,,ERROR: ,,,,,0.008977174758911133,"[-1, 53, 49, 98, 86]",92,Done!,100,"[47, 24, 6, 62, 98, 86]",7,20.3596319409844,93,,-1.0,,,1
47,,,,,2488.150626182556,"[-1, 0, 54, 92, 16]",97.0,Done!,3088.328456401825,,,ERROR: ,,,,,0.009497404098510742,"[-1, 0, 16, 63, 7]",95,Done!,100,"[0, 54, 92, 16]",3,13.044145466003101,97,,0.0,,,2
48,,,,,6326.970283269882,"[-1, 74, 62, 17, 43]",89.0,Done!,3379.957980632782,,,ERROR: ,,,,,0.00906991958618164,"[-1, 6, 41, 81]",86,Done!,100,"[74, 17, 62, 43]",11,12.976231207023375,89,,0.0,,,3
49,,,,,2521.6155614852905,"[-1, 99, 86, 47]",98.0,Done!,3149.403798341751,,,ERROR: ,,,,,0.008861541748046875,"[-1, 86, 47, 72]",97,Done!,100,"[99, 86, 47]",2,31.794976614008192,98,,0.0,,,1
50,,,,,2685.710521221161,"[-1, 94, 7, 84, 98]",96.0,Done!,3183.6753487586975,,,ERROR: ,,,,,0.008899688720703125,"[-1, 94, 7, 84, 98]",96,Done!,100,"[94, 7, 84, 98]",4,12.419472331006546,96,,0.0,,,0
51,0.06686615943908691,"[-1, 15, 0, 7, 13]",11.0,Done!,9.006367683410645,"[-1, 15, 0, 7, 13]",11.0,Done!,15.144894361495972,"[-1, 15, 0, 11, 12, 13]",11.0,Done!,26759.819811105728,"[-1, 15, 11, 0, 13, 12, 1, 6]",11.0,Done!,0.00428318977355957,"[-1, 15, 7, 13]",10,Done!,20,"[0, 19, 5]",11,0.08986446098424494,9,-2.0,-2.0,-2.0,-2.0,-1
52,0.05846905708312988,"[-1, 6, 3, 1, 8, 4, 2]",15.0,Done!,5.69188117980957,"[-1, 6, 3, 8, 1, 9]",15.0,Done!,23.85261559486389,"[-1, 6, 3, 19, 12, 17]",15.0,Done!,86400.17928266525,,,ERROR: Runner exceded the timeout limit,0.0037240982055664062,"[-1, 6, 19, 12, 17]",13,Done!,20,"[6, 3, 19, 12, 17]",5,0.1054204189858865,15,0.0,0.0,0.0,,2
53,0.020714759826660156,"[-1, 10, 2, 1]",15.0,Done!,3.139914035797119,"[-1, 10, 2, 1]",15.0,Done!,7.6340012550354,"[-1, 10, 2, 1]",15.0,Done!,94.90329885482788,"[-1, 10, 2, 1, 19, 5, 0, 4, 6, 13, 12]",15.0,Done!,0.0036454200744628906,"[-1, 10, 1]",14,Done!,20,"[10, 2, 1]",5,0.08406624998315237,15,0.0,0.0,0.0,0.0,1
54,0.030108928680419922,"[-1, 15, 4]",15.0,Done!,3.1323459148406982,"[-1, 15, 4]",15.0,Done!,6.0626444816589355,"[-1, 15, 4]",15.0,Done!,456.6276137828827,"[-1, 15, 4, 16, 11, 0]",15.0,Done!,0.0035321712493896484,"[-1, 15, 4]",15,Done!,20,"[15, 4]",5,0.0818759239919018,15,0.0,0.0,0.0,0.0,0
55,0.06248021125793457,"[-1, 17]",15.0,Done!,2.9986371994018555,"[-1, 17]",15.0,Done!,6.312793254852295,"[-1, 17]",15.0,Done!,1248.4967966079712,"[-1, 17, 16, 3, 5, 0, 1, 8, 10, 11, 15]",15.0,Done!,0.0035791397094726562,"[-1, 17]",15,Done!,20,"[0, 9, 8, 15]",10,0.11854428297374398,10,-5.0,-5.0,-5.0,-5.0,-5
56,0.022191524505615234,"[-1, 9, 13, 17, 3]",12.0,Done!,5.020771503448486,"[-1, 9, 13, 17, 3]",12.0,Done!,9.95369291305542,"[-1, 9, 13, 17, 3]",12.0,Done!,1258.4213848114014,"[-1, 9, 13, 17, 3, 0, 5, 11, 4]",12.0,Done!,0.0034809112548828125,"[-1, 17, 3]",8,Done!,20,"[9, 13, 17, 0]",9,0.11937108999700285,11,-1.0,-1.0,-1.0,-1.0,3
57,0.14634013175964355,"[-1, 3, 0, 16, 17]",16.0,Done!,6.373048543930054,"[-1, 3, 14]",16.0,Done!,13.852207660675049,"[-1, 3, 14]",16.0,Done!,86400.15311074257,,,ERROR: Runner exceded the timeout limit,0.0035440921783447266,"[-1, 3, 14]",16,Done!,20,"[3, 0, 16, 17]",4,0.09244469099212438,16,0.0,0.0,0.0,,0
58,0.031080007553100586,"[-1, 3, 6, 8, 5, 18]",14.0,Done!,3.3505523204803467,"[-1, 3, 9, 12]",14.0,Done!,9.366890907287598,"[-1, 3, 9, 12]",14.0,Done!,86400.11500096321,,,ERROR: Runner exceded the timeout limit,0.0035631656646728516,"[-1, 3, 9, 12]",14,Done!,20,"[3, 8, 17]",6,0.11462730899802409,14,0.0,0.0,0.0,,0
59,0.38172149658203125,"[-1, 13, 14, 4, 2, 9]",18.0,Done!,5.180176019668579,"[-1, 13, 14, 4, 2, 9]",18.0,Done!,9.818460702896118,"[-1, 13, 14, 4, 2, 9]",18.0,Done!,2838.1151871681213,"[-1, 13, 14, 4, 2, 9, 3, 15, 0, 6, 16]",18.0,Done!,0.0034942626953125,"[-1, 12]",17,Done!,20,[12],3,0.08739166401210241,17,-1.0,-1.0,-1.0,-1.0,0
60,0.043447017669677734,"[-1, 4, 1]",16.0,Done!,4.06712007522583,"[-1, 4, 1]",16.0,Done!,12.392312049865723,"[-1, 4, 1]",16.0,Done!,86400.2850010395,,,ERROR: Runner exceded the timeout limit,0.003818988800048828,"[-1, 4, 1]",16,Done!,20,"[4, 1]",4,0.0753079779969994,16,0.0,0.0,0.0,,0
